"District Name","School Name",Grade,Gender,"Participation Rate","Percent Did Not Yet Meet Expectations","Percent Met or Exceeded Expectations"
"Sheridan 2","All Schools","All Grades",Female,97.1,40.9,5.1
"Sheridan 2","All Schools",03,Male,100.0,33.3,19.0
"Sheridan 2","All Schools",03,Female,100.0,28.1,25.0
"Sheridan 2","All Schools",04,Male,100.0,40.0,"- -"
"Sheridan 2","All Schools",04,Female,100.0,55.9,"- -"
"Sheridan 2","All Schools",05,Male,94.3,27.3,"- -"
"Sheridan 2","All Schools",05,Female,92.9,23.1,"- -"
"Sheridan 2","All Schools",06,Male,100.0,51.4,"- -"
"Sheridan 2","All Schools",06,Female,100.0,43.9,"- -"
"Sheridan 2","All Schools",07,Male,82.6,23.7,"- -"
"Sheridan 2","All Schools",07,Female,96.0,27.1,"- -"
"Sheridan 2","All Schools",08,Male,92.0,45.7,8.7
"Sheridan 2","All Schools",08,Female,94.7,57.4,"- -"
"Cherry Creek 5","All Schools","All Grades",Male,73.8,13.2,41.8
"Cherry Creek 5","All Schools","All Grades",Female,72.9,13.4,38.4
"Cherry Creek 5","All Schools",03,Male,89.6,12.5,51.2
"Cherry Creek 5","All Schools",03,Female,89.9,12.4,46.9
"Cherry Creek 5","All Schools",04,Male,86.8,14.0,39.8
"Cherry Creek 5","All Schools",04,Female,87.3,15.3,32.3
"Cherry Creek 5","All Schools",05,Male,86.3,12.3,43.0
"Cherry Creek 5","All Schools",05,Female,84.7,12.1,39.6
"Cherry Creek 5","All Schools",06,Male,72.4,15.5,36.2
"Cherry Creek 5","All Schools",06,Female,72.8,16.2,32.5
"Cherry Creek 5","All Schools",07,Male,62.6,8.9,34.0
"Cherry Creek 5","All Schools",07,Female,61.7,10.3,33.6
"Cherry Creek 5","All Schools",08,Male,49.1,16.7,45.4
"Cherry Creek 5","All Schools",08,Female,45.6,13.8,46.6
"Littleton 6","All Schools","All Grades",Male,85.7,7.7,50.6
"Littleton 6","All Schools","All Grades",Female,86.4,8.2,45.5
"Littleton 6","All Schools",03,Male,94.5,8.3,53.1
"Littleton 6","All Schools",03,Female,94.8,7.0,48.8
"Littleton 6","All Schools",04,Male,93.8,7.7,45.8
"Littleton 6","All Schools",04,Female,94.3,10.6,31.9
"Littleton 6","All Schools",05,Male,90.7,6.7,53.3
"Littleton 6","All Schools",05,Female,96.7,7.7,47.8
"Littleton 6","All Schools",06,Male,82.5,8.2,46.6
"Littleton 6","All Schools",06,Female,81.6,9.6,43.9
"Littleton 6","All Schools",07,Male,83.5,5.4,47.4
"Littleton 6","All Schools",07,Female,82.3,4.0,47.2
"Littleton 6","All Schools",08,Male,71.1,10.2,58.3
"Littleton 6","All Schools",08,Female,71.8,10.8,54.9
"Deer Trail 26J","All Schools","All Grades",Male,97.0,18.5,29.2
"Deer Trail 26J","All Schools","All Grades",Female,96.7,22.0,20.3
"Deer Trail 26J","All Schools",03,Male,100.0,"- -","- -"
"Deer Trail 26J","All Schools",03,Female,100.0,"- -","- -"
"Deer Trail 26J","All Schools",04,Male,100.0,"- -","- -"
"Deer Trail 26J","All Schools",04,Female,100.0,"- -","- -"
"Deer Trail 26J","All Schools",05,Male,93.3,"- -","- -"
"Deer Trail 26J","All Schools",05,Female,100.0,"- -","- -"
"Deer Trail 26J","All Schools",06,Male,100.0,"- -","- -"
"Deer Trail 26J","All Schools",06,Female,100.0,"- -","- -"
"Deer Trail 26J","All Schools",07,Male,100.0,"- -","- -"
"Deer Trail 26J","All Schools",07,Female,83.3,"- -","- -"
"Deer Trail 26J","All Schools",08,Male,91.7,"- -","- -"
"Deer Trail 26J","All Schools",08,Female,83.3,"- -","- -"
"Adams-Arapahoe 28J","All Schools","All Grades",Male,93.9,34.1,14.4
"Adams-Arapahoe 28J","All Schools","All Grades",Female,93.5,36.0,13.1
"Adams-Arapahoe 28J","All Schools",03,Male,96.2,39.7,19.1
"Adams-Arapahoe 28J","All Schools",03,Female,97.3,41.5,17.4
"Adams-Arapahoe 28J","All Schools",04,Male,96.0,35.5,12.9
"Adams-Arapahoe 28J","All Schools",04,Female,96.5,38.8,10.2
"Adams-Arapahoe 28J","All Schools",05,Male,95.5,33.5,14.3
"Adams-Arapahoe 28J","All Schools",05,Female,94.6,36.5,13.3
"Adams-Arapahoe 28J","All Schools",06,Male,94.6,36.0,12.6
"Adams-Arapahoe 28J","All Schools",06,Female,93.7,37.6,10.0
"Adams-Arapahoe 28J","All Schools",07,Male,91.6,20.6,10.5
"Adams-Arapahoe 28J","All Schools",07,Female,90.3,24.9,11.6
"Adams-Arapahoe 28J","All Schools",08,Male,90.1,40.2,17.1
"Adams-Arapahoe 28J","All Schools",08,Female,88.7,36.9,16.4
"Byers 32J","All Schools","All Grades",Male,17.4,10.9,36.5
"Byers 32J","All Schools","All Grades",Female,16.0,18.9,25.9
"Byers 32J","All Schools",03,Male,16.1,"- -","- -"
"Byers 32J","All Schools",03,Female,16.9,"- -","- -"
"Byers 32J","All Schools",04,Male,22.5,"- -","- -"
