District Name,School Name,Content,Grade,2023,2019,Change 2019 to 2023
Academy 20,Discovery Canyon Campus Middle School,Mathematics,06,53.9,41.6,12.3
Academy 20,Discovery Canyon Campus Middle School,Mathematics,07,52.5,41.8,10.7
Academy 20,Discovery Canyon Campus Middle School,Mathematics,08,55.2,71.6,-16.4
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,All,63.8,59.2,4.6
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,03,53.1,53.8,-0.7
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,04,75.0,71.3,3.7
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,05,63.6,54.2,9.4
Academy 20,Douglass Valley Elementary School,Mathematics,All,49.2,50.0,-0.8
Academy 20,Douglass Valley Elementary School,Mathematics,03,63.4,53.7,9.7
Academy 20,Douglass Valley Elementary School,Mathematics,04,40.5,44.2,-3.7
Academy 20,Douglass Valley Elementary School,Mathematics,05,43.6,52.4,-8.8
Academy 20,Eagleview Middle School,Mathematics,All,48.8,47.5,1.3
Academy 20,Eagleview Middle School,Mathematics,06,45.7,41.0,4.7
Academy 20,Eagleview Middle School,Mathematics,07,44.4,51.3,-6.9
Academy 20,Eagleview Middle School,Mathematics,08,58.4,50.7,7.7
Academy 20,Edith Wolford Elementary School,Mathematics,All,45.5,42.9,2.6
Academy 20,Edith Wolford Elementary School,Mathematics,03,34.8,41.7,-6.9
Academy 20,Edith Wolford Elementary School,Mathematics,04,53.3,41.1,12.2
Academy 20,Edith Wolford Elementary School,Mathematics,05,38.3,48.1,-9.8
Academy 20,Explorer Elementary School,Mathematics,All,50.9,55.6,-4.7
Academy 20,Explorer Elementary School,Mathematics,03,58.9,73.1,-14.2
Academy 20,Explorer Elementary School,Mathematics,04,45.6,50.7,-5.1
Academy 20,Explorer Elementary School,Mathematics,05,48.5,42.3,6.2
Academy 20,Foothills Elementary School,Mathematics,All,55.4,52.8,2.6
Academy 20,Foothills Elementary School,Mathematics,03,64.4,60.0,4.4
Academy 20,Foothills Elementary School,Mathematics,04,45.8,46.3,-0.5
Academy 20,Foothills Elementary School,Mathematics,05,54.0,52.2,1.8
Academy 20,Frontier Elementary School,Mathematics,All,29.2,25.6,3.6
Academy 20,Frontier Elementary School,Mathematics,03,*,*,*
Academy 20,Frontier Elementary School,Mathematics,04,*,*,*
Academy 20,Frontier Elementary School,Mathematics,05,29.4,30.9,-1.5
Academy 20,High Plains Elementary School,Mathematics,All,37.1,33.5,3.6
Academy 20,High Plains Elementary School,Mathematics,03,53.7,40.0,13.7
Academy 20,High Plains Elementary School,Mathematics,04,*,*,*
Academy 20,High Plains Elementary School,Mathematics,05,*,*,*
Academy 20,Mountain Ridge Middle School,Mathematics,All,35.0,33.2,1.8
Academy 20,Mountain Ridge Middle School,Mathematics,06,32.2,28.0,4.2
Academy 20,Mountain Ridge Middle School,Mathematics,07,32.2,32.5,-0.3
Academy 20,Mountain Ridge Middle School,Mathematics,08,41.3,40.3,1
Academy 20,Mountain View Elementary School,Mathematics,All,59.4,68.2,-8.8
Academy 20,Mountain View Elementary School,Mathematics,03,51.4,65.7,-14.3
Academy 20,Mountain View Elementary School,Mathematics,04,61.7,73.3,-11.6
Academy 20,Mountain View Elementary School,Mathematics,05,65.7,65.7,0
Academy 20,New Summit Charter Academy,Mathematics,All,26.1,27.2,-1.1
Academy 20,New Summit Charter Academy,Mathematics,03,44.7,*,*
Academy 20,New Summit Charter Academy,Mathematics,04,23.6,*,*
Academy 20,New Summit Charter Academy,Mathematics,05,28.6,29.7,-1.1
Academy 20,New Summit Charter Academy,Mathematics,06,14.0,42.5,-28.5
Academy 20,New Summit Charter Academy,Mathematics,07,17.5,*,*
Academy 20,New Summit Charter Academy,Mathematics,08,16.7,*,*
Academy 20,Legacy Peak Elementary School,Mathematics,All,39.7,41.5,-1.8
Academy 20,Legacy Peak Elementary School,Mathematics,03,42.2,53.1,-10.9
Academy 20,Legacy Peak Elementary School,Mathematics,04,41.5,35.7,5.8
Academy 20,Legacy Peak Elementary School,Mathematics,05,35.6,30.4,5.2
Academy 20,Pioneer Elementary School,Mathematics,All,49.2,36.5,12.7
Academy 20,Pioneer Elementary School,Mathematics,03,38.3,44.1,-5.8
Academy 20,Pioneer Elementary School,Mathematics,04,36.0,33.3,2.7
Academy 20,Pioneer Elementary School,Mathematics,05,67.1,32.4,34.7
Academy 20,Prairie Hills Elementary School,Mathematics,All,49.2,41.7,7.5
Academy 20,Prairie Hills Elementary School,Mathematics,03,51.7,36.2,15.5
Academy 20,Prairie Hills Elementary School,Mathematics,04,50.0,46.2,3.8
Academy 20,Prairie Hills Elementary School,Mathematics,05,46.6,42.2,4.4
Academy 20,Ranch Creek Elementary,Mathematics,All,56.7,58.7,-2
Academy 20,Ranch Creek Elementary,Mathematics,03,66.7,61.8,4.9
Academy 20,Ranch Creek Elementary,Mathematics,04,51.6,56.1,-4.5
Academy 20,Ranch Creek Elementary,Mathematics,05,52.7,58.8,-6.1
Academy 20,Rockrimmon Elementary School,Mathematics,All,61.5,58.4,3.1
Academy 20,Rockrimmon Elementary School,Mathematics,03,63.5,48.3,15.2
Academy 20,Rockrimmon Elementary School,Mathematics,04,64.3,77.8,-13.5
Academy 20,Rockrimmon Elementary School,Mathematics,05,56.9,51.6,5.3
Academy 20,TCA College Pathways,Mathematics,All,50.6,44.7,5.9
Academy 20,TCA College Pathways,Mathematics,07,48.8,24.3,24.5
Academy 20,TCA College Pathways,Mathematics,08,52.4,60.4,-8
Academy 20,The Da Vinci Academy School,Mathematics,All,33.5,50.2,-16.7
Academy 20,The Da Vinci Academy School,Mathematics,03,41.8,69.6,-27.8
Academy 20,The Da Vinci Academy School,Mathematics,04,31.9,34.5,-2.6
Academy 20,The Da Vinci Academy School,Mathematics,05,27.3,50.0,-22.7
Academy 20,Timberview Middle School,Mathematics,All,34.8,51.5,-16.7
Academy 20,Timberview Middle School,Mathematics,06,32.9,38.4,-5.5
Academy 20,Timberview Middle School,Mathematics,07,36.4,59.5,-23.1
Academy 20,Timberview Middle School,Mathematics,08,35.3,56.2,-20.9
Academy 20,Woodmen-Roberts Elementary School,Mathematics,All,54.4,58.7,-4.3
Academy 20,Woodmen-Roberts Elementary School,Mathematics,03,53.9,52.0,1.9
Academy 20,Woodmen-Roberts Elementary School,Mathematics,04,45.2,56.2,-11
Academy 20,Woodmen-Roberts Elementary School,Mathematics,05,64.7,68.0,-3.3
Adams 12 Five Star Schools,All Schools,English Language Arts,All,40.9,44.7,-3.8
Adams 12 Five Star Schools,All Schools,English Language Arts,03,38.7,38.2,0.5
Adams 12 Five Star Schools,All Schools,English Language Arts,04,43.5,46.5,-3
Adams 12 Five Star Schools,All Schools,English Language Arts,05,44.2,49.2,-5
Adams 12 Five Star Schools,All Schools,English Language Arts,06,38.3,39.9,-1.6
Adams 12 Five Star Schools,All Schools,English Language Arts,07,43.2,46.7,-3.5
Adams 12 Five Star Schools,All Schools,English Language Arts,08,36.9,47.3,-10.4
Adams 12 Five Star Schools,Glacier Peak Elementary School,English Language Arts,All,40.4,50.4,-10
Adams 12 Five Star Schools,Glacier Peak Elementary School,English Language Arts,03,28.9,28.2,0.7
Adams 12 Five Star Schools,Glacier Peak Elementary School,English Language Arts,04,60.0,59.0,1
Adams 12 Five Star Schools,Glacier Peak Elementary School,English Language Arts,05,33.3,61.8,-28.5
Adams 12 Five Star Schools,Rocky Top Middle School,English Language Arts,All,51.5,57.4,-5.9
Adams 12 Five Star Schools,Rocky Top Middle School,English Language Arts,06,51.0,53.7,-2.7
Adams 12 Five Star Schools,Rocky Top Middle School,English Language Arts,07,55.7,65.4,-9.7
Adams 12 Five Star Schools,Rocky Top Middle School,English Language Arts,08,46.7,52.6,-5.9
Adams 12 Five Star Schools,Meridian Elementary School,English Language Arts,All,69.0,70.6,-1.6
Adams 12 Five Star Schools,Meridian Elementary School,English Language Arts,03,67.4,60.0,7.4
Adams 12 Five Star Schools,Meridian Elementary School,English Language Arts,04,67.7,70.4,-2.7
Adams 12 Five Star Schools,Meridian Elementary School,English Language Arts,05,72.3,78.9,-6.6
Adams 12 Five Star Schools,Vantage Point,English Language Arts,All,*,*,*
Adams 12 Five Star Schools,Vantage Point,English Language Arts,06,*,*,*
Adams 12 Five Star Schools,Vantage Point,English Language Arts,07,*,*,*
Adams 12 Five Star Schools,Vantage Point,English Language Arts,08,*,*,*
Adams 12 Five Star Schools,Arapahoe Ridge Elementary School,English Language Arts,All,44.2,50.6,-6.4
Adams 12 Five Star Schools,Arapahoe Ridge Elementary School,English Language Arts,03,37.7,33.7,4
Adams 12 Five Star Schools,Arapahoe Ridge Elementary School,English Language Arts,04,53.1,57.8,-4.7
Adams 12 Five Star Schools,Arapahoe Ridge Elementary School,English Language Arts,05,42.9,58.8,-15.9
Adams 12 Five Star Schools,Centennial Elementary School,English Language Arts,All,25.7,35.4,-9.7
Adams 12 Five Star Schools,Centennial Elementary School,English Language Arts,03,28.1,28.8,-0.7
Adams 12 Five Star Schools,Centennial Elementary School,English Language Arts,04,19.7,31.5,-11.8
Adams 12 Five Star Schools,Centennial Elementary School,English Language Arts,05,29.8,42.5,-12.7
Adams 12 Five Star Schools,Century Middle School,English Language Arts,All,35.8,42.0,-6.2
Adams 12 Five Star Schools,Century Middle School,English Language Arts,06,31.9,33.0,-1.1
Adams 12 Five Star Schools,Century Middle School,English Language Arts,07,40.5,53.0,-12.5
Adams 12 Five Star Schools,Century Middle School,English Language Arts,08,35.4,43.0,-7.6
Adams 12 Five Star Schools,Stargate Charter School,English Language Arts,All,77.6,73.7,3.9
Adams 12 Five Star Schools,Stargate Charter School,English Language Arts,03,74.2,62.6,11.6
Adams 12 Five Star Schools,Stargate Charter School,English Language Arts,04,76.7,75.8,0.9
Adams 12 Five Star Schools,Stargate Charter School,English Language Arts,05,81.4,82.1,-0.7
Adams 12 Five Star Schools,Stargate Charter School,English Language Arts,06,75.2,81.1,-5.9
Adams 12 Five Star Schools,Stargate Charter School,English Language Arts,07,78.8,72.6,6.2
Adams 12 Five Star Schools,Stargate Charter School,English Language Arts,08,79.7,68.6,11.1
Adams 12 Five Star Schools,Coronado Hills Elementary School,English Language Arts,All,12.3,20.9,-8.6
Adams 12 Five Star Schools,Coronado Hills Elementary School,English Language Arts,03,11.8,9.8,2
Adams 12 Five Star Schools,Coronado Hills Elementary School,English Language Arts,04,10.7,24.0,-13.3
Adams 12 Five Star Schools,Coronado Hills Elementary School,English Language Arts,05,14.3,29.4,-15.1
Adams 12 Five Star Schools,Cotton Creek Elementary School,English Language Arts,All,57.3,52.0,5.3
Adams 12 Five Star Schools,Cotton Creek Elementary School,English Language Arts,03,46.5,41.2,5.3
Adams 12 Five Star Schools,Cotton Creek Elementary School,English Language Arts,04,70.6,54.4,16.2
Adams 12 Five Star Schools,Cotton Creek Elementary School,English Language Arts,05,52.6,61.9,-9.3
Adams 12 Five Star Schools,Coyote Ridge Elementary School,English Language Arts,All,63.0,70.3,-7.3
Adams 12 Five Star Schools,Coyote Ridge Elementary School,English Language Arts,03,54.7,70.8,-16.1
Adams 12 Five Star Schools,Coyote Ridge Elementary School,English Language Arts,04,69.8,75.3,-5.5
Adams 12 Five Star Schools,Coyote Ridge Elementary School,English Language Arts,05,64.6,65.2,-0.6
Adams 12 Five Star Schools,Eagleview Elementary School,English Language Arts,All,50.4,51.0,-0.6
Adams 12 Five Star Schools,Eagleview Elementary School,English Language Arts,03,48.5,47.7,0.8
Adams 12 Five Star Schools,Eagleview Elementary School,English Language Arts,04,52.7,51.9,0.8
Adams 12 Five Star Schools,Eagleview Elementary School,English Language Arts,05,49.5,52.7,-3.2
Adams 12 Five Star Schools,Tarver Elementary School,English Language Arts,All,42.0,53.5,-11.5
Adams 12 Five Star Schools,Tarver Elementary School,English Language Arts,03,32.1,48.6,-16.5
Adams 12 Five Star Schools,Tarver Elementary School,English Language Arts,04,43.3,60.6,-17.3
Adams 12 Five Star Schools,Tarver Elementary School,English Language Arts,05,49.2,51.4,-2.2
Adams 12 Five Star Schools,Cherry Drive Elementary School,English Language Arts,All,29.2,33.2,-4
Adams 12 Five Star Schools,Cherry Drive Elementary School,English Language Arts,03,25.7,38.8,-13.1
Adams 12 Five Star Schools,Cherry Drive Elementary School,English Language Arts,04,33.3,25.0,8.3
Adams 12 Five Star Schools,Cherry Drive Elementary School,English Language Arts,05,27.3,36.0,-8.7
Adams 12 Five Star Schools,Skyview Elementary School,English Language Arts,All,29.9,40.8,-10.9
Adams 12 Five Star Schools,Skyview Elementary School,English Language Arts,03,24.6,32.1,-7.5
Adams 12 Five Star Schools,Skyview Elementary School,English Language Arts,04,28.3,39.7,-11.4
Adams 12 Five Star Schools,Skyview Elementary School,English Language Arts,05,36.8,48.9,-12.1
Adams 12 Five Star Schools,Hunters Glen Elementary School,English Language Arts,All,48.4,47.3,1.1
Adams 12 Five Star Schools,Hunters Glen Elementary School,English Language Arts,03,52.5,44.6,7.9
Adams 12 Five Star Schools,Hunters Glen Elementary School,English Language Arts,04,50.0,50.0,0
Adams 12 Five Star Schools,Hunters Glen Elementary School,English Language Arts,05,42.6,47.3,-4.7
Adams 12 Five Star Schools,Rocky Mountain Elementary School,English Language Arts,All,21.2,19.9,1.3
